仕様書売買では材料、性能、耐久性等のデータや図面、写真などを添付した仕様書をもとに、品質条件が設定される。,1,正,誤
見本による売買は、主に製品,加工品の貿易取引に利用されている,1,正,誤
代理店契約にもとづく代理店の商行為は、全て代理店として行うものなので、その結果生ずる利潤または損失は本人に帰属する。,1,正,誤
売買契約の不履行を原因とする損害賠償請求は、売買契約書に定めがある場合にのみ行うことができる。,2,正,誤
フィリピン産のバナナを輸入する場合、品質決定方法として適しているものは(A 標準品売買　B 仕様書売買)である。,1,標準品売買,仕様書売買
品質決定条件で(A GMQ　B FAQ)とは漁労品・木材などの商品の場合に、売買するに足る適切な品質を備えていることをいう。,1, GMQ,FAQ
販売店契約では、契約当事者は(A 本人対代理人　B 本人対本人)の関係となる。,1,本人対代理人,本人対本人
貿易取引における売買契約に際し、数量決定時点を船積数量条件とした場合において、輸入者が輸出者に提出を義務づけるべき書類はどちらか。,1,重量容積証明書,パッキングリスト
海外市場における販路の開拓や拡大のために、その市場の有力な商社や販売会社に自社の代わりに営業活動させることを販売店契約という。,2,正,誤
契約違反とは、契約者のいずれにも責任のない理由で、契約を実行に移すことができないことをいう。,2,正,誤
